timestamp,app_name,total_connections,unique_destinations,services_accessed,email_connections
2024-11-16T13:43:07.353615,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:07.353615,firefox,3,3,WEB,0
2024-11-16T13:43:07.353615,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:07.353615,warp-terminal,4,4,WEB,0
2024-11-16T13:43:07.353615,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:07.353615,Code,2,2,WEB,0
2024-11-16T13:43:07.353615,vdb,1,1,OTHER,0
2024-11-16T13:43:07.353615,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:07.353615,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:12.696714,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:12.696714,firefox,3,3,WEB,0
2024-11-16T13:43:12.696714,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:12.696714,warp-terminal,3,3,WEB,0
2024-11-16T13:43:12.696714,brave,12,12,"WEB,OTHER",0
2024-11-16T13:43:12.696714,Code,2,2,WEB,0
2024-11-16T13:43:12.696714,vdb,1,1,OTHER,0
2024-11-16T13:43:12.696714,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:12.696714,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:18.340351,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:18.340351,firefox,3,3,WEB,0
2024-11-16T13:43:18.340351,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:18.340351,warp-terminal,3,3,WEB,0
2024-11-16T13:43:18.340351,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:18.340351,Code,2,2,WEB,0
2024-11-16T13:43:18.340351,vdb,1,1,OTHER,0
2024-11-16T13:43:18.340351,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:18.340351,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:23.664833,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:23.664833,firefox,3,3,WEB,0
2024-11-16T13:43:23.664833,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:23.664833,warp-terminal,3,3,WEB,0
2024-11-16T13:43:23.664833,brave,12,12,"WEB,OTHER",0
2024-11-16T13:43:23.664833,Code,2,2,WEB,0
2024-11-16T13:43:23.664833,vdb,1,1,OTHER,0
2024-11-16T13:43:23.664833,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:23.664833,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:29.823614,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:29.823614,firefox,3,3,WEB,0
2024-11-16T13:43:29.823614,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:29.823614,warp-terminal,3,3,WEB,0
2024-11-16T13:43:29.823614,brave,12,12,"WEB,OTHER",0
2024-11-16T13:43:29.823614,Code,2,2,WEB,0
2024-11-16T13:43:29.823614,vdb,1,1,OTHER,0
2024-11-16T13:43:29.823614,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:29.823614,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:35.257082,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:35.257082,firefox,3,3,WEB,0
2024-11-16T13:43:35.257082,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:35.257082,warp-terminal,3,3,WEB,0
2024-11-16T13:43:35.257082,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:35.257082,Code,2,2,WEB,0
2024-11-16T13:43:35.257082,vdb,1,1,OTHER,0
2024-11-16T13:43:35.257082,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:35.257082,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:40.577707,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:40.577707,firefox,3,3,WEB,0
2024-11-16T13:43:40.577707,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:40.577707,warp-terminal,3,3,WEB,0
2024-11-16T13:43:40.577707,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:40.577707,Code,2,2,WEB,0
2024-11-16T13:43:40.577707,vdb,1,1,OTHER,0
2024-11-16T13:43:40.577707,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:40.577707,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:46.018229,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:46.018229,firefox,3,3,WEB,0
2024-11-16T13:43:46.018229,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:46.018229,warp-terminal,3,3,WEB,0
2024-11-16T13:43:46.018229,brave,12,12,"WEB,OTHER",0
2024-11-16T13:43:46.018229,Code,2,2,WEB,0
2024-11-16T13:43:46.018229,vdb,1,1,OTHER,0
2024-11-16T13:43:46.018229,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:46.018229,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:51.463636,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:51.463636,firefox,3,3,WEB,0
2024-11-16T13:43:51.463636,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:51.463636,warp-terminal,3,3,WEB,0
2024-11-16T13:43:51.463636,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:51.463636,Code,2,2,WEB,0
2024-11-16T13:43:51.463636,vdb,1,1,OTHER,0
2024-11-16T13:43:51.463636,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:51.463636,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:56.774190,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:56.774190,firefox,3,3,WEB,0
2024-11-16T13:43:56.774190,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:56.774190,warp-terminal,3,3,WEB,0
2024-11-16T13:43:56.774190,brave,12,12,"WEB,OTHER",0
2024-11-16T13:43:56.774190,Code,2,2,WEB,0
2024-11-16T13:43:56.774190,vdb,1,1,OTHER,0
2024-11-16T13:43:56.774190,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:56.774190,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:02.087007,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:02.087007,firefox,3,3,WEB,0
2024-11-16T13:44:02.087007,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:02.087007,warp-terminal,3,3,WEB,0
2024-11-16T13:44:02.087007,brave,13,13,"WEB,OTHER",0
2024-11-16T13:44:02.087007,Code,2,2,WEB,0
2024-11-16T13:44:02.087007,vdb,1,1,OTHER,0
2024-11-16T13:44:02.087007,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:02.087007,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:07.398345,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:07.398345,firefox,3,3,WEB,0
2024-11-16T13:44:07.398345,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:07.398345,warp-terminal,3,3,WEB,0
2024-11-16T13:44:07.398345,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:07.398345,brave,13,13,"WEB,OTHER",0
2024-11-16T13:44:07.398345,Code,2,2,WEB,0
2024-11-16T13:44:07.398345,vdb,1,1,OTHER,0
2024-11-16T13:44:07.398345,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:12.732590,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:12.732590,firefox,3,3,WEB,0
2024-11-16T13:44:12.732590,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:12.732590,warp-terminal,3,3,WEB,0
2024-11-16T13:44:12.732590,brave,13,14,"WEB,OTHER",0
2024-11-16T13:44:12.732590,Code,2,2,WEB,0
2024-11-16T13:44:12.732590,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:12.732590,vdb,1,1,OTHER,0
2024-11-16T13:44:12.732590,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:18.036581,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:18.036581,firefox,3,3,WEB,0
2024-11-16T13:44:18.036581,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:18.036581,warp-terminal,3,3,WEB,0
2024-11-16T13:44:18.036581,brave,13,14,"WEB,OTHER",0
2024-11-16T13:44:18.036581,Code,2,2,WEB,0
2024-11-16T13:44:18.036581,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:18.036581,vdb,1,1,OTHER,0
2024-11-16T13:44:18.036581,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:23.354196,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:23.354196,firefox,3,3,WEB,0
2024-11-16T13:44:23.354196,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:23.354196,warp-terminal,3,3,WEB,0
2024-11-16T13:44:23.354196,brave,13,14,"WEB,OTHER",0
2024-11-16T13:44:23.354196,Code,2,2,WEB,0
2024-11-16T13:44:23.354196,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:23.354196,vdb,1,1,OTHER,0
2024-11-16T13:44:23.354196,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:28.663139,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:28.663139,firefox,3,3,WEB,0
2024-11-16T13:44:28.663139,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:28.663139,warp-terminal,3,3,WEB,0
2024-11-16T13:44:28.663139,brave,13,14,"WEB,OTHER",0
2024-11-16T13:44:28.663139,Code,2,2,WEB,0
2024-11-16T13:44:28.663139,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:28.663139,vdb,1,1,OTHER,0
2024-11-16T13:44:28.663139,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:33.975907,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:33.975907,firefox,3,3,WEB,0
2024-11-16T13:44:33.975907,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:33.975907,warp-terminal,3,3,WEB,0
2024-11-16T13:44:33.975907,brave,13,14,"WEB,OTHER",0
2024-11-16T13:44:33.975907,Code,2,2,WEB,0
2024-11-16T13:44:33.975907,WD-TabNine,1,1,WEB,0
2024-11-16T13:44:33.975907,vdb,1,1,OTHER,0
2024-11-16T13:44:33.975907,NetworkManager,2,2,OTHER,0
2024-11-16T13:44:39.417220,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:44:39.417220,firefox,3,3,WEB,0
2024-11-16T13:44:39.417220,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:44:39.417220,warp-terminal,3,3,WEB,0
